Question,Answer
Do we have a work from home option kindly tell me??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Do we have a work from home option in detail??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option?,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option please??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Are there national holidays please??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided please??,Employees receive 15 vacation days annually.
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
How many vacation days are provided as per policy??,Employees receive 15 vacation days annually.
How many vacation days are provided?,Employees receive 15 vacation days annually.
How many vacation days are provided?,Employees receive 15 vacation days annually.
How many vacation days are provided please??,Employees receive 15 vacation days annually.
Are there national holidays in detail??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided?,Employees receive 15 vacation days annually.
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided?,Employees receive 15 vacation days annually.
Are there national holidays in detail??,"Yes, we observe 10 national holidays in a year."
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided as per policy??,Employees receive 15 vacation days annually.
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave?,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave kindly tell me??,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave as per policy??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave in detail??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave in detail??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave as per policy??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave please??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave?,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave please??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave as per policy??,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave please??,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave in detail??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave in detail??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave please??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave?,"Yes, female employees get 26 weeks of maternity leave."
Are laptops provided by the company?,"Yes, laptops are provided to all employees."
Are laptops provided by the company as per policy??,"Yes, laptops are provided to all employees."
Are laptops provided by the company?,"Yes, laptops are provided to all employees."
Are meals provided at the office in detail??,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility in detail??,"Yes, the company provides shuttle services on major routes."
Is there a transport facility please??,"Yes, the company provides shuttle services on major routes."
Are laptops provided by the company kindly tell me??,"Yes, laptops are provided to all employees."
Is there a transport facility please??,"Yes, the company provides shuttle services on major routes."
Is there a transport facility please??,"Yes, the company provides shuttle services on major routes."
Are meals provided at the office as per policy??,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility as per policy??,"Yes, the company provides shuttle services on major routes."
Are meals provided at the office as per policy??,"Yes, lunch and evening snacks are provided in the cafeteria."
Are meals provided at the office?,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility kindly tell me??,"Yes, the company provides shuttle services on major routes."
Are meals provided at the office please??,"Yes, lunch and evening snacks are provided in the cafeteria."
Are meals provided at the office as per policy??,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility?,"Yes, the company provides shuttle services on major routes."
Are meals provided at the office as per policy??,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility kindly tell me??,"Yes, the company provides shuttle services on major routes."
Are laptops provided by the company kindly tell me??,"Yes, laptops are provided to all employees."
Are meals provided at the office in detail??,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility in detail??,"Yes, the company provides shuttle services on major routes."
Is there a transport facility kindly tell me??,"Yes, the company provides shuttle services on major routes."
Is there a transport facility?,"Yes, the company provides shuttle services on major routes."
Are meals provided at the office?,"Yes, lunch and evening snacks are provided in the cafeteria."
Are meals provided at the office in detail??,"Yes, lunch and evening snacks are provided in the cafeteria."
Is there a transport facility in detail??,"Yes, the company provides shuttle services on major routes."
Are laptops provided by the company as per policy??,"Yes, laptops are provided to all employees."
Are laptops provided by the company?,"Yes, laptops are provided to all employees."
Are laptops provided by the company in detail??,"Yes, laptops are provided to all employees."
How are promotions decided as per policy??,Promotions are based on performance reviews and business needs.
Do we have performance reviews kindly tell me??,"Yes, performance reviews are conducted twice a year."
How are promotions decided kindly tell me??,Promotions are based on performance reviews and business needs.
How are promotions decided kindly tell me??,Promotions are based on performance reviews and business needs.
How are promotions decided in detail??,Promotions are based on performance reviews and business needs.
Do we have performance reviews?,"Yes, performance reviews are conducted twice a year."
Do we have performance reviews as per policy??,"Yes, performance reviews are conducted twice a year."
How are promotions decided in detail??,Promotions are based on performance reviews and business needs.
How are promotions decided kindly tell me??,Promotions are based on performance reviews and business needs.
Do we have performance reviews?,"Yes, performance reviews are conducted twice a year."
Do we have performance reviews please??,"Yes, performance reviews are conducted twice a year."
Do we have performance reviews kindly tell me??,"Yes, performance reviews are conducted twice a year."
Do we have performance reviews kindly tell me??,"Yes, performance reviews are conducted twice a year."
How are promotions decided in detail??,Promotions are based on performance reviews and business needs.
Do we have performance reviews in detail??,"Yes, performance reviews are conducted twice a year."
Do we have performance reviews kindly tell me??,"Yes, performance reviews are conducted twice a year."
How are promotions decided kindly tell me??,Promotions are based on performance reviews and business needs.
How are promotions decided as per policy??,Promotions are based on performance reviews and business needs.
How are promotions decided please??,Promotions are based on performance reviews and business needs.
Do we have performance reviews please??,"Yes, performance reviews are conducted twice a year."
How are promotions decided please??,Promotions are based on performance reviews and business needs.
Do we have performance reviews as per policy??,"Yes, performance reviews are conducted twice a year."
Do we have performance reviews in detail??,"Yes, performance reviews are conducted twice a year."
How are promotions decided as per policy??,Promotions are based on performance reviews and business needs.
How are promotions decided kindly tell me??,Promotions are based on performance reviews and business needs.
How are promotions decided in detail??,Promotions are based on performance reviews and business needs.
Do we have performance reviews please??,"Yes, performance reviews are conducted twice a year."
How are promotions decided please??,Promotions are based on performance reviews and business needs.
How are promotions decided please??,Promotions are based on performance reviews and business needs.
Do we have performance reviews?,"Yes, performance reviews are conducted twice a year."
What is the dress code policy please??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
Is there a dress code on weekends in detail??,"No, there is no dress code for weekend work."
Is there a dress code on weekends in detail??,"No, there is no dress code for weekend work."
Is there a dress code on weekends kindly tell me??,"No, there is no dress code for weekend work."
Is there a dress code on weekends please??,"No, there is no dress code for weekend work."
What is the dress code policy please??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy please??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
Is there a dress code on weekends kindly tell me??,"No, there is no dress code for weekend work."
Is there a dress code on weekends as per policy??,"No, there is no dress code for weekend work."
Is there a dress code on weekends as per policy??,"No, there is no dress code for weekend work."
Is there a dress code on weekends?,"No, there is no dress code for weekend work."
Is there a dress code on weekends?,"No, there is no dress code for weekend work."
What is the dress code policy?,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy kindly tell me??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
Is there a dress code on weekends please??,"No, there is no dress code for weekend work."
What is the dress code policy as per policy??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy?,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy kindly tell me??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy in detail??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
Is there a dress code on weekends in detail??,"No, there is no dress code for weekend work."
Is there a dress code on weekends as per policy??,"No, there is no dress code for weekend work."
Is there a dress code on weekends in detail??,"No, there is no dress code for weekend work."
Is there a dress code on weekends as per policy??,"No, there is no dress code for weekend work."
What is the dress code policy kindly tell me??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy as per policy??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
Is there a dress code on weekends kindly tell me??,"No, there is no dress code for weekend work."
What is the dress code policy as per policy??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
Is there a dress code on weekends please??,"No, there is no dress code for weekend work."
What is the dress code policy?,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What is the dress code policy please??,"The dress code is business casual from Monday to Thursday, and casual on Fridays."
What happens after resignation in detail??,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age as per policy??,The official retirement age is 60 years.
What happens after resignation please??,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation as per policy??,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation kindly tell me??,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age please??,The official retirement age is 60 years.
What is the retirement age as per policy??,The official retirement age is 60 years.
What happens after resignation?,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation?,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation in detail??,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation please??,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation as per policy??,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age as per policy??,The official retirement age is 60 years.
What happens after resignation?,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age in detail??,The official retirement age is 60 years.
What is the retirement age kindly tell me??,The official retirement age is 60 years.
What happens after resignation as per policy??,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age as per policy??,The official retirement age is 60 years.
What happens after resignation as per policy??,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age kindly tell me??,The official retirement age is 60 years.
What is the retirement age as per policy??,The official retirement age is 60 years.
What happens after resignation?,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age as per policy??,The official retirement age is 60 years.
What is the retirement age please??,The official retirement age is 60 years.
What happens after resignation kindly tell me??,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation as per policy??,Employees need to complete exit formalities and hand over responsibilities.
What happens after resignation in detail??,Employees need to complete exit formalities and hand over responsibilities.
What is the retirement age as per policy??,The official retirement age is 60 years.
What is the retirement age as per policy??,The official retirement age is 60 years.
What is the retirement age in detail??,The official retirement age is 60 years.
Do interns get full-time opportunities kindly tell me??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided?,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities please??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided please??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities in detail??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided in detail??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities?,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities please??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities in detail??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided kindly tell me??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities please??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided kindly tell me??,"Yes, regular training and workshops are organized for employees."
Are training sessions provided please??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities as per policy??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities kindly tell me??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities in detail??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided as per policy??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities in detail??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities as per policy??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities as per policy??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities please??,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided?,"Yes, regular training and workshops are organized for employees."
Are training sessions provided please??,"Yes, regular training and workshops are organized for employees."
Are training sessions provided please??,"Yes, regular training and workshops are organized for employees."
Are training sessions provided please??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities please??,"Yes, interns with good performance may receive full-time offers."
Do interns get full-time opportunities?,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided please??,"Yes, regular training and workshops are organized for employees."
Do interns get full-time opportunities?,"Yes, interns with good performance may receive full-time offers."
Are training sessions provided kindly tell me??,"Yes, regular training and workshops are organized for employees."
Are there recognition awards as per policy??,"Yes, employees are recognized with monthly and annual awards."
Are there recognition awards as per policy??,"Yes, employees are recognized with monthly and annual awards."
Is there an employee referral program as per policy??,"Yes, employees can refer candidates and earn referral bonuses."
Is there an employee referral program in detail??,"Yes, employees can refer candidates and earn referral bonuses."
Are there recognition awards in detail??,"Yes, employees are recognized with monthly and annual awards."
Are there recognition awards?,"Yes, employees are recognized with monthly and annual awards."
Is there an employee referral program in detail??,"Yes, employees can refer candidates and earn referral bonuses."
Are there recognition awards?,"Yes, employees are recognized with monthly and annual awards."
Is there an employee referral program in detail??,"Yes, employees can refer candidates and earn referral bonuses."
Is there an employee referral program in detail??,"Yes, employees can refer candidates and earn referral bonuses."
Is there an employee referral program kindly tell me??,"Yes, employees can refer candidates and earn referral bonuses."
Are there recognition awards kindly tell me??,"Yes, employees are recognized with monthly and annual awards."
Is there an employee referral program?,"Yes, employees can refer candidates and earn referral bonuses."
Are there recognition awards?,"Yes, employees are recognized with monthly and annual awards."
Is there an employee referral program in detail??,"Yes, employees can refer candidates and earn referral bonuses."
Are there recognition awards as per policy??,"Yes, employees are recognized with monthly and annual awards."
Is there an employee referral program?,"Yes, employees can refer candidates and earn referral bonuses."
